BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,ABERDEEN,ABERDEEN,6270
EASTERN CAPE,ABERDEEN,ANSFRERE,6270
EASTERN CAPE,ABERDEEN,BALVINIE,6270
EASTERN CAPE,ABERDEEN,BERGVLIET,7864
EASTERN CAPE,ABERDEEN,CONSTANTIAKLOOF,6270
EASTERN CAPE,ABERDEEN,CONSTANTIAVALE,6270
EASTERN CAPE,ABERDEEN,CONVILLE,6270
EASTERN CAPE,ABERDEEN,LOTUSVILLE,6270
EASTERN CAPE,ACTON CABA,ACTON CABA,5401
EASTERN CAPE,ADDO,ADDO,6105
EASTERN CAPE,ADDO,OLIFANTPARK,6109
EASTERN CAPE,ADDO,SUNLAND,6115
EASTERN CAPE,ADELAIDE,ADELAIDE,5760
EASTERN CAPE,ADELAIDE,BEZUIDENHOUTVILLE,5760
EASTERN CAPE,ADENDORP,ADENDORP,6282
EASTERN CAPE,ADVENT,ADVENT,5092
EASTERN CAPE,ALBERT RD,ALBERT RD,7930
EASTERN CAPE,ALEXANDRIA,ALEXANDRIA,6185
EASTERN CAPE,ALEXANDRIA,NOORDHEUWEL,6185
EASTERN CAPE,ALICE,ALICE,5700
EASTERN CAPE,ALICE,FORT HARE,5701
EASTERN CAPE,ALICE,HAPPY REST,5700
EASTERN CAPE,ALICEDALE,ALICEDALE ESTATE,7764
EASTERN CAPE,ALICEDALE,ALICEDALE,7764
EASTERN CAPE,ALICEDALE,BUSHMANS SANDS GOLF ESTATE,7764